3e-05,0.002242,0.010314,24791.5,3.86,0.1436,2234.635185,0.554296
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.5e-05,0.001979,0.008812,16722.875,3.9,0.1475,2276.265587,0.5752499999999999
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.8e-05,0.002237,0.009914,22697.6875,3.91,0.1445,2226.167985,0.564995
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
3.3e-05,0.002742,0.011572,30696.375,3.86,0.1416,2199.355184,0.546576
3.2e-05,0.002595,0.010988,28905.5,3.86,0.142,2210.644785,0.5481199999999999
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.4e-05,0.001857,0.008667,17107.5,3.9,0.1469,2269.209586,0.57291
2.4e-05,0.001926,0.008773,16452.75,3.9,0.1472,2272.031986,0.5740799999999999
2.8e-05,0.002127,0.009774,20816.6875,3.95,0.1459,2248.747186,0.5763050000000001
2.7e-05,0.002087,0.009438,19844.875,3.88,0.1461,2252.980786,0.566868
2.8e-05,0.002264,0.010039,22695.75,3.95,0.1456,2245.219186,0.5751200000000001
2.7e-05,0.002093,0.009453,19724.3125,3.95,0.1462,2256.508786,0.5774900000000001
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.7e-05,0.002037,0.009404,19438.625,3.9,0.1463,2257.214386,0.57057
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.5e-05,0.001979,0.008812,16722.875,3.9,0.1475,2276.265587,0.5752499999999999
2.5e-05,0.002021,0.008969,17428.375,3.88,0.1469,2265.681586,0.569972
2.4e-05,0.001926,0.008773,16452.75,3.9,0.1472,2272.031986,0.5740799999999999
2.6e-05,0.002098,0.009299,18868.25,3.9,0.1468,2263.564786,0.57252
2.5e-05,0.001979,0.008812,16722.875,3.9,0.1475,2276.265587,0.5752499999999999
2.6e-05,0.002043,0.00928,18953.75,3.9,0.1463,2259.331186,0.57057
2.4e-05,0.001857,0.008667,17107.5,3.9,0.1469,2269.209586,0.57291
2.7e-05,0.002037,0.009404,19438.625,3.9,0.1463,2257.214386,0.57057
2.4e-05,0.001926,0.008773,16452.75,3.9,0.1472,2272.031986,0.5740799999999999
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
3.2e-05,0.002574,0.011287,29479.25,3.91,0.1434,2230.401585,0.560694
2.5e-05,0.001979,0.008812,16722.875,3.9,0.1475,2276.265587,0.5752499999999999
3.1e-05,0.002581,0.010937,28743.375,3.86,0.143,2221.934385,0.5519799999999999
2.5e-05,0.002021,0.008969,17428.375,3.88,0.1469,2265.681586,0.569972
2.5e-05,0.002021,0.008969,17428.375,3.88,0.1469,2265.681586,0.569972
2.8e-05,0.002264,0.010039,22695.75,3.95,0.1456,2245.219186,0.5751200000000001
2.7e-05,0.002055,0.009499,19730.125,3.95,0.1461,2253.686386,0.577095
2.5e-05,0.002082,0.009065,18430.5,3.95,0.1457,2246.630386,0.575515
3.1e-05,0.002581,0.010937,28743.375,3.86,0.143,2221.934385,0.5519799999999999
3.3e-05,0.002716,0.011436,30377.5,3.85,0.1415,2192.299184,0.544775
2.9e-05,0.002177,0.00992,23084.25,3.9,0.1444,2241.691185,0.56316
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
3.2e-05,0.002595,0.010988,28905.5,3.86,0.142,2210.644785,0.5481199999999999
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.6e-05,0.002033,0.009231,18847.625,3.9,0.1467,2262.859186,0.57213
3.2e-05,0.002595,0.010988,28905.5,3.86,0.142,2210.644785,0.5481199999999999
2.4e-05,0.001857,0.008667,17107.5,3.9,0.1469,2269.209586,0.57291
2.5e-05,0.002021,0.008969,17428.375,3.88,0.1469,2265.681586,0.569972
2.7e-05,0.00207,0.009557,19960.9375,3.95,0.1457,2253.686386,0.575515
2.4e-05,0.001926,0.008773,16452.75,3.9,0.1472,2272.031986,0.5740799999999999
2.6e-05,0.00203,0.009225,18785.5,3.89,0.1466,2266.387186,0.5702740000000001
2.4e-05,0.001857,0.008667,17107.5,3.9,0.1469,2269.209586,0.57291
2.4e-05,0.001926,0.008773,16452.75,3.9,0.1472,2272.031986,0.5740799999999999
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
3e-05,0.002282,0.010499,25375.75,3.86,0.1433,2226.167985,0.553138
2.6e-05,0.002089,0.009311,19411.75,3.88,0.1463,2254.391986,0.567644
3.2e-05,0.002565,0.011227,29250.25,3.84,0.1437,2233.929585,0.551808
2.9e-05,0.002305,0.01014,24751.125,3.91,0.1441,2231.107185,0.563431
3.2e-05,0.002437,0.010899,28530.375,3.86,0.1421,2207.822385,0.548506
3e-05,0.00225,0.010326,24909.25,3.86,0.1432,2229.695985,0.5527519999999999
3.2e-05,0.002595,0.010988,28905.5,3.86,0.142,2210.644785,0.5481199999999999
2.6e-05,0.002059,0.009364,19225.5625,3.95,0.1463,2260.036786,0.5778850000000001
2.7e-05,0.002093,0.009453,19724.3125,3.95,0.1462,2256.508786,0.5774900000000001
3.1e-05,0.002581,0.010937,28743.375,3.86,0.143,2221.934385,0.5519799999999999
2.9e-05,0.002177,0.00992,23084.25,3.9,0.1444,2241.691185,0.56316
2.7e-05,0.002087,0.009438,19844.875,3.88,0.1461,2252.980786,0.566868
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.8e-05,0.002186,0.009795,21734.3125,3.95,0.1455,2245.924785,0.574725
2.6e-05,0.002043,0.00928,18953.75,3.9,0.1463,2259.331186,0.57057
2.7e-05,0.002087,0.009438,19844.875,3.88,0.1461,2252.980786,0.566868
3.2e-05,0.002595,0.010988,28905.5,3.86,0.142,2210.644785,0.5481199999999999
2.6e-05,0.00208,0.009327,18608.8125,3.84,0.1465,2265.681586,0.56256
2.4e-05,0.001931,0.008777,16551.5,3.9,0.1472,2272.031986,0.5740799999999999
2.5e-05,0.001979,0.008812,16722.875,3.9,0.1475,2276.265587,0.5752499999999999
2.6e-05,0.002033,0.009231,18847.625,3.9,0.1467,2262.859186,0.57213
3e-05,0.002279,0.010507,25313.5,3.86,0.1427,2219.111985,0.5508219999999999
2.7e-05,0.002093,0.009453,19724.3125,3.95,0.1462,2256.508786,0.5774900000000001
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.6e-05,0.002051,0.009114,17910.625,3.95,0.1464,2253.686386,0.57828
2.4e-05,0.001926,0.008773,16452.75,3.9,0.1472,2272.031986,0.5740799999999999
2.7e-05,0.002064,0.009385,19320.75,3.88,0.1464,2257.214386,0.568032
3.2e-05,0.002437,0.010899,28530.375,3.86,0.1421,2207.822385,0.548506
3.1e-05,0.002581,0.010937,28743.375,3.86,0.143,2221.934385,0.5519799999999999
2.8e-05,0.002152,0.009913,21898.5625,3.91,0.1447,2245.924786,0.565777
2.4e-05,0.001912,0.00853,15735.5,3.9,0.1476,2278.382387,0.57564
2.7e-05,0.002055,0.009499,19730.125,3.95,0.1461,2253.686386,0.577095
2.8e-05,0.002082,0.009667,21381.75,3.84,0.1451,2245.924786,0.557184
